"","School","Geozone.Accepted","No.Geozone.Accepted","Geozone.Waitlist","No.geozone.Waitlist","No.Geozone.Applied","Geozone.Applied","Type","GeozoneOverlap"
"1","Adams Elementary School",NA,2,NA,8,10,NA,"Attendance Area",1
"2","Alki Elementary School",NA,NA,NA,7,7,NA,"Attendance Area",0
"3","Arbor Heights Elementary School",NA,NA,NA,13,13,NA,"Attendance Area",0
"4","B F Day Elementary School",NA,NA,NA,1,1,NA,"Attendance Area",0
"5","Bailey Gatzert Elementary School",NA,NA,NA,10,10,NA,"Attendance Area",0
"6","Beacon Hill International School",NA,NA,NA,17,17,NA,"Attendance Area",0
"7","Broadview-Thomson K-8 School",NA,NA,NA,7,7,NA,"Attendance Area",0
"8","Bryant Elementary School",NA,NA,NA,4,4,NA,"Attendance Area",0
"9","Cascadia Elementary",NA,NA,NA,0,0,NA,"Attendance Area",0
"10","Catharine Blaine K-8 School",NA,4,NA,6,10,NA,"Attendance Area",0
"11","Concord International School",NA,NA,NA,6,6,NA,"Attendance Area",0
"12","Daniel Bagley Elementary School",NA,NA,NA,3,3,NA,"Attendance Area",1
"13","Dearborn Park International School",NA,5,NA,29,34,NA,"Attendance Area",0
"14","Dunlap Elementary School",NA,2,NA,3,5,NA,"Attendance Area",1
"15","Emerson Elementary School",NA,2,NA,0,2,NA,"Attendance Area",1
"16","Exp. Ed. Unit",NA,NA,NA,0,0,NA,"Other",0
"17","Fairmount Park Elementary School",NA,NA,NA,37,37,NA,"Attendance Area",1
"18","Frantz Coe Elementary School",NA,NA,NA,9,9,NA,"Attendance Area",1
"19","Gatewood Elementary School",NA,NA,NA,7,7,NA,"Attendance Area",0
"20","Genesee Hill Elementary",NA,NA,NA,9,9,NA,"Attendance Area",0
"21","Graham Hill Elementary School",NA,NA,NA,10,10,NA,"Attendance Area",1
"22","Green Lake Elementary School",NA,NA,NA,5,5,NA,"Attendance Area",1
"23","Greenwood Elementary School",NA,2,NA,8,10,NA,"Attendance Area",0
"24","Hawthorne Elementary School - Seattle",NA,2,NA,2,4,NA,"Attendance Area",1
"25","Hazel Wolf K-8",26,29,10,123,152,36,"Choice",0
"26","Highland Park Elementary School",NA,6,NA,0,6,NA,"Attendance Area",0
"27","Hutch School",NA,NA,NA,0,0,NA,"Other",0
"28","In Tandem",NA,NA,NA,0,0,NA,"Other",0
"29","John Hay Elementary School",NA,2,NA,7,9,NA,"Attendance Area",1
"30","John Muir Elementary School",NA,6,NA,6,12,NA,"Attendance Area",0
"31","John Rogers Elementary School",NA,NA,NA,3,3,NA,"Attendance Area",1
"32","John Stanford International School",38,15,NA,66,81,38,"Choice",0
"33","Kimball Elementary School",NA,NA,NA,11,11,NA,"Attendance Area",0
"34","Lafayette Elementary School",NA,NA,NA,18,18,NA,"Attendance Area",0
"35","Laurelhurst Elementary School",NA,NA,NA,6,6,NA,"Attendance Area",0
"36","Lawton Elementary School",NA,NA,NA,4,4,NA,"Attendance Area",0
"37","Leschi Elementary School",NA,2,NA,19,21,NA,"Attendance Area",0
"38","Licton Springs K-8",NA,11,NA,0,11,NA,"Choice",0
"39","Louisa Boren STEM K-8",30,9,NA,56,65,30,"Choice",0
"40","Lowell Elementary School",NA,3,NA,9,12,NA,"Attendance Area",0
"41","Loyal Heights Elementary School",NA,NA,NA,0,0,NA,"Attendance Area",0
"42","Madrona K-5 School",NA,NA,NA,0,0,NA,"Attendance Area",0
"43","Maple Elementary School",NA,NA,NA,8,8,NA,"Attendance Area",0
"44","Martin Luther King Jr. Elementary School",NA,2,NA,2,4,NA,"Attendance Area",0
"45","McDonald International School",40,13,12,39,52,52,"Choice",0
"46","McGilvra Elementary School",NA,1,NA,11,12,NA,"Attendance Area",0
"47","Montlake Elementary School",NA,2,NA,12,14,NA,"Attendance Area",0
"48","Non Public Agencies",NA,NA,NA,0,0,NA,"Other",0
"49","North Beach Elementary School",NA,NA,NA,9,9,NA,"Attendance Area",0
"50","Northgate Elementary School",NA,1,NA,1,2,NA,"Attendance Area",0
"51","Olympic Hills Elementary School",NA,NA,NA,1,1,NA,"Attendance Area",1
"52","Olympic View Elementary School",NA,1,NA,2,3,NA,"Attendance Area",1
"53","Orca K-8 School",22,18,NA,0,18,22,"Choice",0
"54","Pathfinder K-8 School",18,18,NA,51,69,18,"Choice",0
"55","Priv/Paroch Sped",NA,NA,NA,0,0,NA,"Other",0
"56","Queen Anne Elementary",56,7,21,11,18,77,"Choice",0
"57","Rainier View Elementary School",NA,2,NA,0,2,NA,"Attendance Area",0
"58","Roxhill Elementary School",NA,NA,NA,7,7,NA,"Attendance Area",1
"59","Sacajawea Elementary School",NA,NA,NA,2,2,NA,"Attendance Area",1
"60","Salmon Bay K-8 School",15,23,NA,30,53,15,"Choice",0
"61","Sand Point Elementary",NA,NA,NA,2,2,NA,"Attendance Area",0
"62","Sanislo Elementary School",NA,1,NA,2,3,NA,"Attendance Area",0
"63","South Shore PK-8 School",1,3,NA,10,13,1,"Choice",0
"64","Stevens Elementary School",NA,NA,NA,18,18,NA,"Attendance Area",0
"65","Thornton Creek Elementary School",50,29,NA,31,60,50,"Choice",0
"66","Thurgood Marshall Elementary",NA,NA,NA,23,23,NA,"Attendance Area",0
"67","Tops K-8 School",15,23,NA,27,50,15,"Choice",0
"68","Van Asselt Elementary School",NA,NA,NA,4,4,NA,"Attendance Area",0
"69","View Ridge Elementary School",NA,4,NA,20,24,NA,"Attendance Area",1
"70","Viewlands Elementary School",NA,2,NA,3,5,NA,"Attendance Area",0
"71","Wedgwood Elementary School",NA,NA,NA,9,9,NA,"Attendance Area",1
"72","West Seattle Elementary School",NA,5,NA,1,6,NA,"Attendance Area",1
"73","West Woodland Elementary School",NA,2,NA,16,18,NA,"Attendance Area",1
"74","Whittier Elementary School",NA,3,NA,6,9,NA,"Attendance Area",1
"75","Wing Luke Elementary School",NA,NA,NA,13,13,NA,"Attendance Area",1
